name	mod	context	context_source	default	live	english	russian
key.deep_aether.toggle_skyjade_transparency	deep_aether	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Toggle Skyjade Transparency	
key.deeperdarker.boost	deeperdarker	UNIVERSAL	assumed	key.keyboard.b	key.keyboard.b	Boost Soul Elytra	Ускорение элитр душ
key.deeperdarker.transmit	deeperdarker	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Use Sculk Transmitter	Использовать скалковый передатчик
key.doggytalents.whistle.1	doggytalents	UNIVERSAL	assumed	key.keyboard.1:SHIFT	key.keyboard.1:SHIFT	Whistle #1	
key.doggytalents.whistle.2	doggytalents	UNIVERSAL	assumed	key.keyboard.2:SHIFT	key.keyboard.2:SHIFT	Whistle #2	
key.doggytalents.whistle.3	doggytalents	UNIVERSAL	assumed	key.keyboard.3:SHIFT	key.keyboard.3:SHIFT	Whistle #3	
key.doggytalents.whistle.4	doggytalents	UNIVERSAL	assumed	key.keyboard.4:SHIFT	key.keyboard.4:SHIFT	Whistle #4	
key.draconicevolution.dislocator_blink	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Advanced Dislocator Blink	Продвинутый телепортер: Телепорт. по напр. взгляда
key.draconicevolution.dislocator_down	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Advanced Dislocator Select Down	Продвинутый телепортер: выбрать точку ниже
key.draconicevolution.dislocator_gui	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Advanced Dislocator GUI	GUI продвинутого телепортера
key.draconicevolution.dislocator_teleport	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Advanced Dislocator Teleport	Телепортироваться на точку
key.draconicevolution.dislocator_up	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Advanced Dislocator Select Up	Продвинутый телепортер: выбрать точку выше
key.draconicevolution.place_item	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.p	Place Item	Поставить предмет в мир
key.draconicevolution.toggle_flight	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Toggle Flight	Включить полёт
key.draconicevolution.toggle_magnet	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.unknown	Toggle Item Dislocator	Включить телепортационный магнит
key.draconicevolution.tool_config	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.c	Tool Config	Настроить инструмент
key.draconicevolution.tool_modules	draconicevolution	IN_GAME	bytecode	key.keyboard.unknown	key.keyboard.c:SHIFT	Tool Modules	Меню модулей инструмента
key.drawMahoujin	mahoutsukai	UNIVERSAL	assumed	key.keyboard.m	key.keyboard.m	Draw Mahoujin	Начертить магический круг
key.drop	minecraft	UNIVERSAL	assumed	key.keyboard.q	key.keyboard.q		
key.dynamic_fps.toggle_disabled	dynamic_fps	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Disable Dynamic FPS (Toggle)	Переключить работу Dynamic FPS
key.dynamic_fps.toggle_forced	dynamic_fps	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Force Unfocused Mode (Toggle)	Переключить фоновый режим
key.easy_villagers.cycle_trades	easy_villagers	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.c	Cycle Trades	Цикл продаж
key.easy_villagers.pick_up	easy_villagers	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Pick Up	Подобрать
key.emiaddon.share_hovered_item	emiaddon	UNIVERSAL	assumed		key.keyboard.y	Share Hovered Item	Поделиться предметом под курсором
key.enderRing	enigmaticlegacyplus	UNIVERSAL	assumed		key.keyboard.i	Ring of Ender	Кольцо Края
key.enderchests.open.bag	enderchests	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Carried EnderBag	
key.enderchests.open.pouch	enderchests	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Carried EnderPouch	
key.enderio.toggle_magnet	enderio	UNIVERSAL	assumed		key.keyboard.m	Toggle Electromagnet	Переключить электромагнит
key.enderio.travel_staff	enderio	UNIVERSAL	assumed		key.keyboard.g	Staff of Travelling	Посох путешествия
key.energizedpower.teleporter.use	energizedpower	IN_GAME	bytecode	key.keyboard.v	key.keyboard.v	Use Teleporter	Используй телепорт
key.entityculling.toggle	entityculling	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Debug toggle culling	Переключить отсечение (отладка)
key.eternal_starlight.switch_crest	eternal_starlight	UNIVERSAL	assumed	key.keyboard.h	key.keyboard.h	Switch Crest	Переключить гребень
key.evilcraft.exaltedCrafting	evilcraft	UNIVERSAL	assumed	key.keyboard.c	key.keyboard.c	Open Exalted Crafter	Открыть продвинутый верстак
key.evilcraft.fart	evilcraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Farting	Переключить пукание
key.extended_industrialization.toggle_boots_ability	extended_industrialization	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Boots Ability	Переключить способность ботинок
key.extended_industrialization.toggle_chestplate_ability	extended_industrialization	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Chestplate Ability	Переключить способность нагрудника
key.extended_industrialization.toggle_helmet_ability	extended_industrialization	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Helmet Ability	Переключить способность шлема
key.extended_industrialization.toggle_leggings_ability	extended_industrialization	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Leggings Ability	Переключить способность поножей
key.extended_industrialization.toggle_main_hand_ability	extended_industrialization	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Main Hand Ability	Переключить способность в основной руке
key.extendedae.set_amount	extendedae	UNIVERSAL	assumed	key.mouse.middle	key.mouse.middle	Set Amount	
key.extendedae.viewpattern	extendedae	UNIVERSAL	assumed	key.keyboard.p	key.keyboard.p	View Pattern	Посмотреть шаблон
key.findme.pull_one	findme	UNIVERSAL	assumed	key.keyboard.keypad.0	key.keyboard.keypad.0	Pull 1 Item From Nearby Inventories	
key.findme.pull_stack	findme	UNIVERSAL	assumed	key.keyboard.keypad.1	key.keyboard.keypad.1	Pull 1 Stack From Nearby Inventories	
key.findme.search	findme	UNIVERSAL	assumed	key.keyboard.y	key.keyboard.y	Search Nearby Inventories For Items	Поиск предметов в ближайших инвентарях.
key.fireNobu	mahoutsukai	UNIVERSAL	assumed	key.mouse.left	key.mouse.left	Fire Nobu	Fire Nobu
key.forward	minecraft	UNIVERSAL	assumed	key.keyboard.w	key.keyboard.w		
key.ftbchunks.add_waypoint	ftbchunks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Add Waypoint	Быстро добавить путевую точку
key.ftbchunks.claim_manager	ftbchunks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Claim Manager	Открыть управление захватом
key.ftbchunks.map	ftbchunks	UNIVERSAL	assumed	key.keyboard.m:CONTROL	key.keyboard.m	Open Map	Открыть карту
key.ftbchunks.minimap.zoomIn	ftbchunks	UNIVERSAL	assumed	key.keyboard.equal	key.keyboard.equal	Zoom In Minimap	Увеличить масштаб миникарты
key.ftbchunks.minimap.zoomOut	ftbchunks	UNIVERSAL	assumed	key.keyboard.minus	key.keyboard.minus	Zoom Out Minimap	Уменьшить масштаб миникарты
key.ftbchunks.toggle_minimap	ftbchunks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Minimap	Переключить миникарту
key.ftbchunks.waypoint_manager	ftbchunks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Waypoint Manager	Управление путевыми точками
key.ftbquests.quests	ftbquests	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Quests	Открыть квесты
key.ftbteams.open_gui	ftbteams	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Teams GUI	Открыть интерфейс команд
key.ftbultimine	ftbultimine	UNIVERSAL	assumed	key.keyboard.grave.accent	key.keyboard.grave.accent	FTB Ultimine	FTB Ultimine
key.fullscreen	minecraft	UNIVERSAL	assumed	key.keyboard.f11	key.keyboard.f11		
key.gmut.vertical_speed	gmut	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Vertical Speed Modifier Switch	
key.gravelminer.toggle	gravelminer	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle GravelMiner	
key.gui_primary_action.desc	deepnullreforged	UNIVERSAL	assumed		key.mouse.left	DeepNull UI primary button	
key.gui_secondary_action.desc	deepnullreforged	UNIVERSAL	assumed		key.mouse.right	DeepNull UI secondary button	
key.gui_tertiary_action.desc	deepnullreforged	UNIVERSAL	assumed		key.mouse.middle	DeepNull UI tertiary button	
key.guideme.guide	guideme	GUI	bytecode	key.keyboard.g	key.keyboard.g	Open Guide for Items	
key.gunDown	mahoutsukai	UNIVERSAL	assumed	key.keyboard.down	key.keyboard.down	Nobu Guns Down	Nobu Guns Down
key.gunUp	mahoutsukai	UNIVERSAL	assumed	key.keyboard.up	key.keyboard.up	Nobu Guns Up	Nobu Guns Up
key.hammerlib.render_item	hammerlib	GUI	bytecode	key.keyboard.unknown	key.keyboard.unknown		
key.hostilenetworks.open_deep_learner	hostilenetworks	UNIVERSAL	assumed	key.keyboard.u	key.keyboard.u	Open Deep Learner Curio	Открыть карманный глубокий обучатель
key.hotbar.1		UNIVERSAL	assumed	key.keyboard.1	key.keyboard.1		
key.hotbar.2		UNIVERSAL	assumed	key.keyboard.2	key.keyboard.2		
key.hotbar.3		UNIVERSAL	assumed	key.keyboard.3	key.keyboard.3		
key.hotbar.4		UNIVERSAL	assumed	key.keyboard.4	key.keyboard.4		
key.hotbar.5		UNIVERSAL	assumed	key.keyboard.5	key.keyboard.5		
key.hotbar.6		UNIVERSAL	assumed	key.keyboard.6	key.keyboard.6		
key.hotbar.7		UNIVERSAL	assumed	key.keyboard.7	key.keyboard.7		
key.hotbar.8		UNIVERSAL	assumed	key.keyboard.8	key.keyboard.8		
key.hotbar.9		UNIVERSAL	assumed	key.keyboard.9	key.keyboard.9		
key.hypertube.tube_escape	create_hypertube	UNIVERSAL	assumed		key.keyboard.left.shift	Hypertube Escape Button	
key.immersive_aircraft.boost	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.j	key.keyboard.j	Rocket boost	Разгонные ракеты
key.immersive_aircraft.dismount	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.left.control	key.keyboard.left.control	Dismount	Высадиться
key.immersive_aircraft.fallback_control_backward	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Backward	Назад
key.immersive_aircraft.fallback_control_down	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Down	Вниз
key.immersive_aircraft.fallback_control_forward	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Forward	Вперёд
key.immersive_aircraft.fallback_control_left	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Left	Влево
key.immersive_aircraft.fallback_control_pull	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Pull Controller	Тангаж вверх
key.immersive_aircraft.fallback_control_push	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Push Controller	Тангаж вниз
key.immersive_aircraft.fallback_control_right	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Right	Вправо
key.immersive_aircraft.fallback_control_up	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Up	Вверх
key.immersive_aircraft.fallback_use	immersive_aircraft	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Use weapon/mount	Использовать оружие/оборудование
key.immersiveengineering.chemthrowerSwitch	immersiveengineering	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Switch Chemthrower Tanks	Сменить резервуары химического распылителя
key.immersiveengineering.magnetEquip	immersiveengineering	UNIVERSAL	assumed	key.keyboard.s	key.keyboard.s	Magnetic Shield Glove (doubletap)	Электромагнитная перчатка (дважды кликните)
key.immersiveengineering.railgunZoom	immersiveengineering	UNIVERSAL	assumed	key.mouse.middle	key.mouse.middle	Zoom with the Railgun	Войти в режим прицеливания на Рельсотроне
key.immersivepetroleum.projector.flip	immersivepetroleum	UNIVERSAL	assumed		key.keyboard.m	Mirror Projection	
key.industrialforegoing.backpack.desc	industrialforegoing	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Infinity Backpack	Открыть бесконечный рюкзак
key.industrialization_overdrive.terminal_mode_switch	industrialization_overdrive	UNIVERSAL	assumed		key.keyboard.v		
key.integrateddynamics.logic_programmer_focus_search	integrateddynamics	GUI	bytecode	key.keyboard.f:ALT	key.keyboard.f:ALT	Focus Search Logic Programmer	Фокус поиска в Логическом программисте
key.integrateddynamics.logic_programmer_open_rename	integrateddynamics	GUI	bytecode	key.keyboard.r:ALT	key.keyboard.r:ALT	Rename Variable Logic Programmer	Переименовать переменную в Логическом программисте
key.integratedterminals.terminal.craftinggrid.balance	integratedterminals	GUI	bytecode	key.keyboard.b	key.keyboard.b	Balance Crafting Grid	Балансировка сетки крафта
key.integratedterminals.terminal.craftinggrid.clearplayer	integratedterminals	GUI	bytecode	key.keyboard.c:SHIFT	key.keyboard.c:SHIFT	Clear Crafting Grid into Inventory	Очистить сетку крафта в инвентарь
key.integratedterminals.terminal.craftinggrid.clearstorage	integratedterminals	GUI	bytecode	key.keyboard.c	key.keyboard.c	Clear Crafting Grid into Storage	Очистить сетку крафта в хранилище
key.integratedterminals.terminal.portable.open	integratedterminals	IN_GAME	bytecode	key.keyboard.c	key.keyboard.c	Open first Portable Storage Terminal	Открыть первый портативный терминал хранения
key.integratedterminals.terminal.tab.next	integratedterminals	GUI	bytecode	key.keyboard.tab	key.keyboard.tab	Go to next terminal tab	Перейти на следующую вкладку терминала
key.integratedterminals.terminal.tab.previous	integratedterminals	GUI	bytecode	key.keyboard.tab:SHIFT	key.keyboard.tab:SHIFT	Go to previous terminal tab	Перейти на предыдущую вкладку терминала
key.inventory	minecraft	UNIVERSAL	assumed	key.keyboard.e	key.keyboard.e		
key.inventoryessentials.dump_to_container	inventoryessentials	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Dump to Container	
key.inventoryessentials.restock_container	inventoryessentials	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Restock Container	
key.inventoryessentials.restock_inventory	inventoryessentials	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Restock Inventory	
key.inventoryessentials.screen_bulk_drop	inventoryessentials	UNIVERSAL	assumed	key.mouse.left:SHIFT	key.mouse.left:SHIFT	Bulk Drop out of Screen	
key.inventoryessentials.single_transfer	inventoryessentials	UNIVERSAL	assumed	key.mouse.left:CONTROL	key.mouse.left:CONTROL	Transfer one	
key.inventoryessentials.sort_inventory	inventoryessentials	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Sort Inventory	
key.irons_spellbooks.spell_bar_modifier	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.left.alt	key.keyboard.left.alt	Spell Bar Scroll Modifier	Прокрутка панели заклинаний колёсиком мыши
key.irons_spellbooks.spell_quick_cast_1	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 01	Слот быстрого заклинания 01
key.irons_spellbooks.spell_quick_cast_10	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 10	Слот быстрого заклинания 10
key.irons_spellbooks.spell_quick_cast_11	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 11	Слот быстрого заклинания 11
key.irons_spellbooks.spell_quick_cast_12	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 12	Слот быстрого заклинания 12
key.irons_spellbooks.spell_quick_cast_13	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 13	Слот быстрого заклинания 13
key.irons_spellbooks.spell_quick_cast_14	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 14	Слот быстрого заклинания 14
key.irons_spellbooks.spell_quick_cast_15	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 15	Слот быстрого заклинания 15
key.irons_spellbooks.spell_quick_cast_2	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 02	Слот быстрого заклинания 02
key.irons_spellbooks.spell_quick_cast_3	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 03	Слот быстрого заклинания 03
key.irons_spellbooks.spell_quick_cast_4	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 04	Слот быстрого заклинания 04
key.irons_spellbooks.spell_quick_cast_5	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 05	Слот быстрого заклинания 05
key.irons_spellbooks.spell_quick_cast_6	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 06	Слот быстрого заклинания 06
key.irons_spellbooks.spell_quick_cast_7	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 07	Слот быстрого заклинания 07
key.irons_spellbooks.spell_quick_cast_8	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 08	Слот быстрого заклинания 08
key.irons_spellbooks.spell_quick_cast_9	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick Cast Slot 09	Слот быстрого заклинания 09
key.irons_spellbooks.spell_wheel	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.r	key.keyboard.r	Spell Wheel Hold	Открыть панель заклинаний
key.irons_spellbooks.spell_wheel_toggle	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Spell Wheel Toggle	Переключение колеса заклинаний
key.irons_spellbooks.spellbook_cast	irons_spellbooks	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Cast Selected Spell	Применить выбранное заклинание
key.jade.config	jade	UNIVERSAL	assumed	key.keyboard.keypad.0	key.keyboard.keypad.0	Open Config	Открыть настройки
key.jade.narrate	jade	UNIVERSAL	assumed	key.keyboard.keypad.5	key.keyboard.keypad.5	Narrate	Комментатор
key.jade.show_details	jade	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Show Details	Показать подробности
key.jade.show_overlay	jade	UNIVERSAL	assumed	key.keyboard.keypad.1	key.keyboard.keypad.1	Show Overlay	Показать наложение
key.jade.show_recipes	jade	UNIVERSAL	assumed	key.keyboard.keypad.3	key.keyboard.keypad.3	Show Recipes	Показать рецепты
key.jade.show_uses	jade	UNIVERSAL	assumed	key.keyboard.keypad.4	key.keyboard.keypad.4	Show Uses	Показать применения
key.jade.toggle_liquid	jade	UNIVERSAL	assumed	key.keyboard.keypad.2	key.keyboard.keypad.2	Toggle Fluid	Переключить жидкости
key.journeymap.create_waypoint	journeymap	UNIVERSAL	assumed	key.keyboard.o			
key.journeymap.fullscreen.disable_buttons	journeymap	UNIVERSAL	assumed	key.keyboard.unknown			
key.journeymap.fullscreen.east	journeymap	UNIVERSAL	assumed	key.keyboard.right			
key.journeymap.fullscreen.north	journeymap	UNIVERSAL	assumed	key.keyboard.up			
key.journeymap.fullscreen.south	journeymap	UNIVERSAL	assumed	key.keyboard.down			
key.journeymap.fullscreen.west	journeymap	UNIVERSAL	assumed	key.keyboard.left			
key.journeymap.fullscreen_chat_position	journeymap	UNIVERSAL	assumed	key.keyboard.c			
key.journeymap.fullscreen_create_waypoint	journeymap	UNIVERSAL	assumed	key.keyboard.o			
key.journeymap.fullscreen_follow_player	journeymap	UNIVERSAL	assumed	key.keyboard.f			
key.journeymap.fullscreen_options	journeymap	UNIVERSAL	assumed	key.keyboard.o			
key.journeymap.fullscreen_waypoints	journeymap	UNIVERSAL	assumed	key.keyboard.unknown			
key.journeymap.map_toggle_alt	journeymap	UNIVERSAL	assumed	key.keyboard.j			
key.journeymap.minimap_preset	journeymap	UNIVERSAL	assumed	key.keyboard.backslash			
key.journeymap.minimap_toggle_alt	journeymap	UNIVERSAL	assumed	key.keyboard.j:CONTROL			
key.journeymap.minimap_type	journeymap	UNIVERSAL	assumed	key.keyboard.left.bracket			
key.journeymap.toggle_entity_names	journeymap	UNIVERSAL	assumed	key.keyboard.g			
key.journeymap.toggle_render_waypoints	journeymap	UNIVERSAL	assumed	key.keyboard.unknown			
key.journeymap.toggle_render_waypoints_map	journeymap	UNIVERSAL	assumed	key.keyboard.unknown			
key.journeymap.toggle_render_waypoints_world	journeymap	UNIVERSAL	assumed	key.keyboard.unknown			
key.journeymap.toggle_waypoints	journeymap	UNIVERSAL	assumed	key.keyboard.unknown			
key.journeymap.zoom_in	journeymap	UNIVERSAL	assumed	key.keyboard.equal			
key.journeymap.zoom_out	journeymap	UNIVERSAL	assumed	key.keyboard.minus			
key.jump	minecraft	UNIVERSAL	assumed	key.keyboard.space	key.keyboard.space		
key.kubejs.kubedex	kubejs	UNIVERSAL	bytecode	key.keyboard.k	key.keyboard.k		
key.left	minecraft	UNIVERSAL	assumed	key.keyboard.a	key.keyboard.a		
key.libtooltips.expand	libtooltips	UNIVERSAL	assumed		key.keyboard.left.shift		
key.lightoverlay.enable_overlay	lightoverlay	UNIVERSAL	assumed	key.keyboard.f7	key.keyboard.f7	Toggle Light Overlay	
key.loadToolbarActivator	minecraft	UNIVERSAL	assumed	key.keyboard.x	key.keyboard.x		
key.logisticsnetworks.toggle_slot_numbers	logisticsnetworks	UNIVERSAL	bytecode		key.keyboard.i:ALT	Toggle Slot Numbers	
key.logisticsnetworks.toggle_wrench_hud	logisticsnetworks	UNIVERSAL	assumed		key.keyboard.h	Toggle Wrench HUD	
key.mapping.compactmachines.exit_room	compactmachines	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Quick-Exit Compact Machine	
key.mapping.compactmachines.open_upgrade_screen	compactmachines	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Open Room Upgrade Screen	
key.mechtrowel.open_palette	mechtrowel	IN_GAME	bytecode		key.keyboard.g	Open Palette GUI	
key.mechtrowel.open_radial_menu	mechtrowel	IN_GAME	bytecode		key.keyboard.left.alt	Open Radial Menu (Hold)	
key.mechtrowel.restriction_modifier	mechtrowel	IN_GAME	bytecode		key.keyboard.unknown	Wand Restriction (Shift+[This]+Scroll)	
key.mechtrowel.switch_last_mode	mechtrowel	IN_GAME	bytecode		key.keyboard.unknown	Switch to Last Used Mode	
key.mechtrowel.toggle_build_mode	mechtrowel	IN_GAME	bytecode		key.keyboard.r	Toggle Build Mode	
key.mechtrowel.toggle_chipped	mechtrowel	IN_GAME	bytecode		key.keyboard.unknown	Toggle Variant Auto-Conversion	
key.mechtrowel.toggle_replace	mechtrowel	IN_GAME	bytecode		key.keyboard.v	Toggle Replace Mode	
key.mekanism.chest_mode	mekanism	UNIVERSAL	assumed	key.keyboard.g	key.keyboard.g	Chest Mode Switch	Переключить режим ранца
key.mekanism.description	mekanism	UNIVERSAL	assumed	key.keyboard.n:SHIFT	key.keyboard.n:SHIFT	Show Description	Показать описание
key.mekanism.details	mekanism	UNIVERSAL	assumed	key.keyboard.left.shift	key.keyboard.left.shift	Show Details	Подробности
key.mekanism.feet_mode	mekanism	UNIVERSAL	assumed	key.keyboard.b	key.keyboard.b	Feet Mode Switch	Переключить режим бегунков
key.mekanism.head_mode	mekanism	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Head Mode Switch	Переключить режим шлема
key.mekanism.key_boost	mekanism	UNIVERSAL	assumed	key.keyboard.left.control	key.keyboard.left.control	Boost	Ускорение
key.mekanism.key_hud	mekanism	UNIVERSAL	assumed	key.keyboard.h	key.keyboard.h	Show HUD	Показать HUD
key.mekanism.legs_mode	mekanism	UNIVERSAL	assumed	key.keyboard.j	key.keyboard.j	Legs Mode Switch	Переключить режим штанов
key.mekanism.mode	mekanism	UNIVERSAL	assumed	key.keyboard.n	key.keyboard.n	Item Mode Switch	Переключить режим предмета
key.mekanism.module_tweaker	mekanism	UNIVERSAL	assumed	key.keyboard.backslash	key.keyboard.backslash	Module Tweaker	Настройка модулей
key.mekanismadditions.voice	mekanismadditions	UNIVERSAL	assumed	key.keyboard.u	key.keyboard.u	Voice	Голос
key.modern_industrialization.toggle_3x3	modern_industrialization	UNIVERSAL	assumed	key.keyboard.y	key.keyboard.y	Toggle 3x3 Mining	Вкл/выкл Копание 3х3
key.modern_industrialization.toggle_flight	modern_industrialization	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Toggle Flight	Вкл/выкл Полёт
key.modernfix.config	modernfix	UNIVERSAL	bytecode	key.keyboard.unknown	key.keyboard.unknown	Open config screen	Открыть экран настройки
key.modularrouters.configure	modularrouters	GUI	bytecode	key.keyboard.c	key.keyboard.c	Configure Installed Module (GUI)	
key.modularrouters.moduleInfo	modularrouters	GUI	bytecode	key.keyboard.i	key.keyboard.i	Extra Tooltip Info (GUI)	
key.myotus.open.terminal_setting	myotus	UNIVERSAL	assumed		key.keyboard.period:CONTROL	Open Terminal Setting Screen	
key.myotus.toggle.upgrade_terminal_panel	myotus	UNIVERSAL	assumed		key.keyboard.comma:CONTROL	Toggle Upgrade Terminal Panel	
key.neovitae.blood_shield	neovitae	UNIVERSAL	assumed		key.mouse.right	Blood Shield (Orb of Vitae)	
key.neovitae.edit_hud	neovitae	UNIVERSAL	assumed		key.keyboard.h	Edit HUD Layout	
key.neovitae.lex_beam	neovitae	UNIVERSAL	assumed		key.keyboard.unknown	Lex Vitae: Fire Beam	
key.neovitae.lex_mode	neovitae	UNIVERSAL	assumed		key.keyboard.period	Lex Vitae: Cycle Mode	
key.neovitae.open_guide	neovitae	UNIVERSAL	assumed		key.keyboard.unknown	Open Scriptura Vitae for Hovered Item	Открыть Scriptura Vitae для шерсти
key.nextDestination	rftoolsbase	IN_GAME	bytecode	key.keyboard.right.bracket	key.keyboard.right.bracket	Cycle to next target	
key.next_item.desc	deepnullreforged	UNIVERSAL	assumed		key.keyboard.unknown	Cycle to next item in DeepNull	
key.observable.profile	observable	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Show profiler screen	Показать меню
key.occultism.backpack	occultism	UNIVERSAL	assumed	key.keyboard.b	key.keyboard.b	Open Satchel	Открыть наплечную сумку
key.occultism.ender_bag	occultism	UNIVERSAL	assumed	key.keyboard.v	key.keyboard.v	Open Ender Satchel	Open Ender Satchel
key.occultism.familiar.bat_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Bat	Переключение эффекта перстня: летучая мышь
key.occultism.familiar.beaver_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Beaver	Переключение эффекта перстня: бобёр
key.occultism.familiar.beholder_familiar	occultism	UNIVERSAL	assumed	key.keyboard.unknown	key.keyboard.unknown	Toggle Ring Effect: Beholder	Переключение эффекта перстня: созерцатель
